Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRatio,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,Roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
37316,718.059,265.5290926,179.2660522,1.481201206,0.737700858,37723,217.9729498,0.731256124,0.989210826,0.909462274,0.820900443,0.00711569,0.001993236,0.673877538,0.998148221,SIRA
42998,748.297,258.4125732,212.1419002,1.2181119,0.571010666,43376,233.9802426,0.77941523,0.991285504,0.964961778,0.905452238,0.006009874,0.002491766,0.819843755,0.998661434,SEKER
38425,722.26,270.5623827,181.160669,1.493494058,0.742748244,38800,221.1882219,0.7980933,0.990335052,0.925628276,0.81751284,0.007041311,0.001940044,0.668327244,0.998142767,SIRA
25994,612.498,226.9005514,146.6524853,1.547198814,0.763058566,26369,181.9246787,0.704444444,0.985778755,0.870710193,0.801781563,0.008728959,0.002225187,0.642853675,0.994622443,DERMASON
44048,763.489,271.0824375,207.2220042,1.308173997,0.644713487,44378,236.8198798,0.761614939,0.992563883,0.949577661,0.873608346,0.006154251,0.00221117,0.763191542,0.99838733,SEKER
41513,748.568,274.4578049,193.3277513,1.419650325,0.709804421,41885,229.9043132,0.796641719,0.991118539,0.930960957,0.837667245,0.00661137,0.002007971,0.701686413,0.996149344,DERMASON
31520,657.536,239.070754,168.4081575,1.419591293,0.709775351,31870,200.3310022,0.821346675,0.989017885,0.916129783,0.83795696,0.007584732,0.002306784,0.702171866,0.996797068,DERMASON
22199,544.793,193.5731029,146.5791683,1.320604457,0.653149472,22459,168.1209227,0.734093915,0.988423349,0.939896945,0.86851386,0.008719902,0.003060542,0.754316325,0.9961535,DERMASON
40329,724.982,251.3028696,205.058574,1.225517494,0.578077558,40651,226.6020247,0.790826732,0.992078916,0.964212749,0.901708863,0.006231319,0.00254112,0.813078873,0.996442382,SEKER
58260,952.149,319.5159041,232.9670574,1.371506803,0.684380469,59309,272.3581023,0.735401782,0.982312971,0.80755203,0.852408593,0.00548431,0.001786048,0.72660041,0.996537405,BARBUNYA
45524,799.609,299.969982,193.6621241,1.548934689,0.763671505,45998,240.754973,0.787994184,0.989695204,0.894736041,0.802596885,0.006589271,0.00168658,0.644161759,0.997764494,SIRA
42008,738.016,248.3602737,215.6622865,1.151616621,0.495961458,42361,231.2709381,0.784682918,0.991666863,0.969193102,0.931191348,0.005912214,0.002742115,0.867117327,0.998586726,SEKER
45479,807.807,310.5867369,187.1312785,1.659726473,0.79811215,46067,240.6359517,0.741666667,0.987235982,0.875801221,0.774778582,0.006829234,0.001517967,0.600281852,0.99630368,SIRA
26144,624.429,239.030731,139.827446,1.709469334,0.811049983,26560,182.4488275,0.808410637,0.984337349,0.84258897,0.763286071,0.009142852,0.001914304,0.582605626,0.995946452,DERMASON
68505,1028.344,420.6668096,208.2468565,2.020039182,0.86887024,69129,295.3358681,0.73804137,0.990973398,0.814057905,0.702066009,0.006140673,0.000920254,0.492896681,0.995670608,HOROZ
44937,775.198,275.443937,208.5318545,1.320872236,0.653327404,45290,239.1977538,0.774175209,0.992205785,0.939698757,0.868408128,0.006129558,0.002150327,0.754132677,0.996112916,SEKER
37804,723.857,262.0789411,184.8432281,1.417844428,0.70891294,38421,219.3935909,0.732295057,0.983941074,0.906655001,0.83712789,0.006932572,0.002100107,0.700783104,0.993601419,DERMASON
27036,609.278,226.3522996,153.0423308,1.479017592,0.73678741,27358,185.5351835,0.688078998,0.988230134,0.915211162,0.819674392,0.008372255,0.002331244,0.671866109,0.993701794,DERMASON
36253,681.763,237.3120276,194.7811246,1.218352282,0.571243464,36493,214.8458825,0.782157497,0.993423396,0.980137395,0.905330777,0.006545997,0.002712593,0.819623817,0.998590547,SEKER
50798,900.901,308.3940575,210.467044,1.465284311,0.730921624,52164,254.3187417,0.738622154,0.973813358,0.786506543,0.824655131,0.006070988,0.001731923,0.680056084,0.996475511,BARBUNYA
36599,721.525,277.5310375,168.7667712,1.644464935,0.793860028,37097,215.8686964,0.757413961,0.986575734,0.883438489,0.777818216,0.007583022,0.001712121,0.605001177,0.994903221,DERMASON
38441,740.082,290.2403582,168.9692311,1.717711303,0.813067085,38777,221.234268,0.779657236,0.99133507,0.881951814,0.762245021,0.007550281,0.001572249,0.581017472,0.99802028,DERMASON
26927,608.024,224.1799815,153.148157,1.463811161,0.730279741,27214,185.1607983,0.777113997,0.989453958,0.915285095,0.825947067,0.008325472,0.002389998,0.682188558,0.998595225,DERMASON
76890,1076.649,416.7493916,237.3246921,1.756030474,0.822014749,78603,312.8887799,0.792337338,0.978206939,0.83354959,0.750784011,0.005420073,0.001062295,0.563676632,0.989833343,CALI
27760,618.33,221.8992881,159.8084343,1.388533022,0.693782563,28162,188.0030047,0.73270515,0.985725446,0.912407171,0.84724474,0.00799349,0.00254069,0.717823649,0.996721841,DERMASON
78467,1110.736,393.0299837,254.9116868,1.54182803,0.761145843,79670,316.0811405,0.817364583,0.984900213,0.79923633,0.804216354,0.005008857,0.001292439,0.646763944,0.997198777,BARBUNYA
58386,953.693,400.1437694,186.4777129,2.145799426,0.884770614,58829,272.6524602,0.704804442,0.9924697,0.806680199,0.681386244,0.00685342,0.000911298,0.464287214,0.996267237,HOROZ
44216,783.454,295.1050112,191.1601866,1.543757706,0.761835919,44560,237.271068,0.708862383,0.992280072,0.90523703,0.804022497,0.006674168,0.00172048,0.646452176,0.997965528,SIRA
37865,723.114,262.5028769,184.0776675,1.426044128,0.712924723,38228,219.5705248,0.71260539,0.990504342,0.909985109,0.836449975,0.006932599,0.002093321,0.699648561,0.997729722,SIRA
35442,694.127,244.3351148,185.2365835,1.319043518,0.652109141,35957,212.4291787,0.728180473,0.985677337,0.924379296,0.869417312,0.006893943,0.002429744,0.755886462,0.997047138,DERMASON
40494,760.31,286.9312509,180.2077172,1.592225101,0.778171454,40982,227.0651055,0.786596737,0.988092333,0.880276559,0.79135718,0.007085772,0.001714183,0.626246186,0.997124897,SIRA
30335,645.199,243.7866974,158.8603682,1.534597333,0.758531187,30679,196.5291876,0.734645936,0.988787118,0.915727997,0.806152221,0.008036483,0.002093698,0.649881404,0.997306269,DERMASON
48448,833.818,311.2057975,198.9274833,1.564418311,0.769027892,48955,248.3664822,0.697836545,0.98964355,0.875675472,0.798077941,0.006423501,0.001607433,0.6369284,0.996422452,SIRA
43400,774.798,293.5131445,188.7224234,1.555263753,0.76588485,43739,235.0714705,0.807381776,0.99224948,0.908495147,0.800889074,0.006762976,0.001716355,0.641423309,0.997582423,SIRA
40022,814.562,303.9554133,170.8870495,1.778691915,0.826993889,40845,225.7378857,0.669555325,0.979850655,0.757984561,0.742667759,0.007594708,0.001425178,0.551555401,0.981047132,HOROZ
226806,1812.548,679.9753874,428.6803406,1.586206138,0.776241976,229994,537.381027,0.768229731,0.986138769,0.867531735,0.790294821,0.002998048,0.000721398,0.624565904,0.99069027,BOMBAY
43192,800.212,314.0549537,176.5426955,1.778917858,0.827042429,43717,234.507489,0.802705917,0.987990942,0.847623637,0.746708454,0.007271137,0.001394397,0.557573516,0.991877484,HOROZ
43132,745.585,258.0040363,213.0043229,1.211261972,0.564277432,43433,234.3445498,0.783804903,0.993069786,0.975023619,0.908297999,0.005981731,0.002511424,0.825005255,0.999297492,SEKER
27494,618.455,232.5689148,150.7585688,1.542658018,0.761443051,27792,187.1001017,0.709614144,0.98927749,0.90329911,0.804493162,0.008458897,0.002185662,0.647209248,0.998422535,DERMASON
38110,722.79,275.242115,176.4978348,1.559464542,0.767335582,38462,220.2797291,0.751646878,0.99084811,0.916694324,0.800312587,0.007222307,0.001827655,0.640500237,0.998837409,DERMASON
44535,795.057,305.9278053,187.2165257,1.634085475,0.790886322,45089,238.1254357,0.701217112,0.987713189,0.885349588,0.77837134,0.006869379,0.001555409,0.605861943,0.9900302,SIRA
64227,1019.089,426.1913065,193.5193988,2.202318265,0.890967552,64941,285.9656557,0.842210858,0.989005405,0.777147176,0.670979561,0.006635703,0.000829667,0.450213571,0.991513571,HOROZ
57304,946.431,375.4172524,200.2333228,1.874898978,0.845887051,58538,270.11427,0.681136337,0.978919676,0.803927506,0.719504147,0.006551327,0.001083034,0.517686218,0.970609361,HOROZ
48722,830.914,314.4130577,198.0714875,1.587371618,0.776617679,49299,249.0678163,0.778306709,0.988295909,0.886794148,0.792167533,0.006453205,0.001567557,0.6275294,0.99612236,SIRA
42944,781.224,300.1481307,183.2049857,1.638318573,0.792107277,43471,233.8332718,0.786145791,0.987876975,0.884221773,0.779059564,0.006989291,0.001588165,0.606933804,0.994350924,SIRA
193432,1682.466,638.9842855,387.7218947,1.64804798,0.794871003,195899,496.2713689,0.788032363,0.987406776,0.858708166,0.77665661,0.003303405,0.000741409,0.60319549,0.994095108,BOMBAY
41708,775.92,292.9688048,181.9132398,1.610486434,0.783865695,42212,230.4436481,0.689217549,0.988060267,0.87055324,0.786580838,0.007024283,0.001658652,0.618709415,0.99642312,SIRA
25719,594.694,223.4502302,147.2776894,1.51720353,0.752048868,26050,180.9597962,0.717045835,0.987293666,0.913854025,0.809843857,0.008688138,0.002305216,0.655847072,0.995053493,DERMASON
83706,1126.544,446.9605372,239.8446911,1.863541507,0.843828675,84590,326.4625389,0.741890311,0.989549592,0.828838919,0.730405733,0.005339648,0.000937452,0.533492535,0.994185483,CALI
31007,659.033,237.7536854,166.5496443,1.427524427,0.713639241,31427,198.6940829,0.749685687,0.986635695,0.897129814,0.835713997,0.007667742,0.002307161,0.698417885,0.997008592,DERMASON
49226,831.527,317.1805409,198.2224463,1.600124238,0.7806636,49747,250.3527308,0.744157218,0.989527007,0.89464698,0.789306715,0.006443354,0.001542677,0.62300509,0.996885546,SIRA
43331,794.191,313.2780238,177.7044216,1.762916313,0.823551229,43974,234.8845306,0.659889742,0.985377723,0.863293863,0.749763829,0.007229882,0.001409318,0.562145799,0.991016,SIRA
34036,666.067,226.9280102,191.1104706,1.187417987,0.539222369,34369,208.1729597,0.753842746,0.990311036,0.964078826,0.917352422,0.006667294,0.002912555,0.841535465,0.999254348,SEKER
26639,601.862,216.5579368,157.1603046,1.377942969,0.687990766,27043,184.1679349,0.806875663,0.985060829,0.924131841,0.850432626,0.008129357,0.002622984,0.723235651,0.996577481,DERMASON
43188,790.801,294.9917288,187.3927038,1.574190045,0.772308778,43721,234.49663,0.738004101,0.987809062,0.867837749,0.794926118,0.00683041,0.001682417,0.631907534,0.994742549,SIRA
37196,700.485,233.0992014,203.3456973,1.146319811,0.488869547,37561,217.6221912,0.774142524,0.990282474,0.952595276,0.933603332,0.006266781,0.002936797,0.871615182,0.999149751,SEKER
29067,629.906,230.0918331,161.1475773,1.427833027,0.713787828,29478,192.3778933,0.768155391,0.986057399,0.920573745,0.836091793,0.007915913,0.002386144,0.699049487,0.998125945,DERMASON
39706,720.946,254.1695308,199.0732138,1.276764091,0.62173201,40009,224.8449452,0.783124926,0.992426704,0.959976339,0.884625881,0.006401288,0.002418164,0.78256295,0.999148273,SEKER
45664,802.466,304.9506371,191.3532203,1.593653018,0.778625295,46159,241.1248858,0.703562184,0.989276197,0.891108393,0.790701368,0.006678141,0.00161022,0.625208653,0.996365657,SIRA
27239,621.269,220.4459239,159.2195889,1.384540216,0.691620143,27883,186.230427,0.672318894,0.97690349,0.886832614,0.844789614,0.008093026,0.00254264,0.713669492,0.988104113,DERMASON
74604,1089.456,421.2105687,229.6475812,1.834160702,0.83830048,77074,308.2024708,0.640861767,0.967952876,0.789864486,0.731706405,0.005645952,0.000998308,0.535394263,0.981999116,CALI
40968,751.828,269.6172146,194.496095,1.38623459,0.692540888,41527,228.3901873,0.705408337,0.986538878,0.910788703,0.847090523,0.006581166,0.002090268,0.717562354,0.994709756,SIRA
71275,1020.728,398.3237848,229.5219715,1.735449474,0.817294912,72017,301.2476532,0.775841425,0.989696877,0.859660622,0.756288388,0.005588548,0.001127791,0.571972126,0.992628725,CALI
43418,814.87,322.252307,172.5032249,1.868094392,0.844658932,44045,235.120213,0.701331007,0.985764559,0.821680574,0.729615298,0.00742209,0.001297423,0.532338483,0.994458535,HOROZ
41567,768.363,286.8489529,185.1102001,1.549611814,0.763909907,42083,230.053794,0.796852235,0.987738517,0.884760364,0.802003255,0.006900882,0.00176112,0.643209222,0.996724609,SIRA
39868,732.632,255.1164421,199.1201328,1.281218722,0.625147217,40297,225.3031606,0.753876409,0.989354046,0.933388715,0.883138534,0.006399028,0.002401094,0.77993367,0.999265619,SEKER
44608,859.481,329.8557792,175.1673023,1.883089908,0.847345442,45446,238.3205187,0.851948052,0.981560533,0.75883972,0.722499146,0.007394543,0.001242912,0.522005015,0.982982376,HOROZ
36741,692.928,238.615411,196.4650044,1.214544095,0.567527829,37052,216.2870641,0.752642576,0.991606391,0.961578214,0.906425378,0.006494527,0.002704304,0.821606966,0.997877889,SEKER
41556,774.665,275.4594852,194.3070651,1.417650383,0.70881688,42272,230.0233521,0.753590599,0.983062074,0.870193294,0.8350533,0.006628633,0.001988202,0.697314014,0.988547478,SIRA
40591,727.926,252.6683515,204.9644805,1.232742136,0.584769283,40944,227.3369006,0.795434058,0.991378468,0.962642765,0.899744266,0.006224738,0.002516386,0.809539745,0.997953755,SEKER
33999,678.536,247.0150087,175.4972649,1.407514863,0.703725398,34365,208.0597781,0.799506173,0.989349629,0.927962057,0.842296099,0.007265361,0.002255777,0.709462718,0.99857932,DERMASON
44979,827.587,316.0904801,181.9461309,1.737275085,0.817721487,45655,239.3095098,0.707784544,0.985193298,0.825262934,0.757091798,0.007027512,0.001424215,0.57318799,0.995785215,SIRA
35942,698.658,252.9340109,181.2665967,1.39537022,0.69742715,36276,213.9223591,0.775681975,0.990792811,0.925300573,0.845763519,0.007037283,0.002221164,0.71531593,0.998130546,DERMASON
50501,909.986,359.9219079,179.6326235,2.003655577,0.866551438,51274,253.5741908,0.622362713,0.984924133,0.766373396,0.70452558,0.007127025,0.001083116,0.496356293,0.994527054,HOROZ
74590,1060.781,410.7803943,233.0399802,1.762703524,0.82350406,75598,308.1735512,0.782325055,0.986666314,0.832988502,0.750214848,0.005507178,0.001076097,0.562822318,0.992088884,CALI
65425,984.708,325.0131639,257.4804424,1.262282917,0.610241524,66436,288.620334,0.816424578,0.984782347,0.84788834,0.888026597,0.004967721,0.00190564,0.788591237,0.995425248,BARBUNYA
36186,685.681,236.9992929,194.9151565,1.215910025,0.568867373,36484,214.6472599,0.796434467,0.991832036,0.967177561,0.905687343,0.006549475,0.002718313,0.820269563,0.997373985,SEKER
26516,601.374,229.9247948,147.2153513,1.561826214,0.768144852,26796,183.7422645,0.810787671,0.989550679,0.921358356,0.799140713,0.008671172,0.002181477,0.638625879,0.99742264,DERMASON
39420,720.487,251.8592089,199.7966878,1.260577498,0.608847609,39812,224.0337092,0.740420736,0.990153722,0.954276405,0.889519626,0.006389122,0.00246742,0.791245164,0.99742585,SEKER
58138,947.842,385.5418098,192.5845861,2.001934929,0.866304237,58857,272.0727856,0.807393726,0.987783951,0.81320128,0.705689444,0.006631494,0.001014485,0.497997592,0.996958774,HOROZ
45598,774.842,260.7270609,223.1483769,1.168402229,0.5171916,45973,240.9505691,0.790479162,0.991843038,0.954397628,0.92414868,0.005717949,0.00257269,0.854050783,0.997874838,SEKER
39385,748.882,258.7458213,194.2559154,1.331984258,0.660575497,39895,223.9342302,0.767110748,0.987216443,0.882498406,0.865460277,0.006569654,0.002273583,0.749021491,0.997684836,SEKER
48945,826.904,304.1505097,206.8839091,1.470150632,0.733024341,49527,249.6371557,0.742581017,0.988248834,0.899514175,0.820768494,0.006214128,0.001739573,0.67366092,0.990383028,SIRA
20711,525.413,186.0791494,142.0816797,1.309663214,0.645742704,20988,162.3886209,0.793524904,0.986801982,0.942777707,0.872685744,0.008984556,0.003214459,0.761580408,0.997413845,DERMASON
35117,702.913,269.773098,166.8326288,1.617028395,0.785849075,35493,211.4529572,0.675586764,0.989406362,0.89314942,0.783817804,0.007682123,0.001788634,0.614370349,0.9934543,DERMASON
51150,841.317,310.3341344,210.6136398,1.473475957,0.734445811,51593,255.1983595,0.764231286,0.991413564,0.908105222,0.822334159,0.006067139,0.001711422,0.67623347,0.996413759,SIRA
59602,1017.207,390.9985976,195.0682914,2.00441904,0.866660896,60599,275.4770832,0.722343417,0.983547583,0.72385573,0.704547497,0.006560159,0.000997092,0.496387175,0.994967905,HOROZ
63408,1005.966,412.5516489,196.3377049,2.101234957,0.879493659,64200,284.1365395,0.798790627,0.987663551,0.787385321,0.688729618,0.006506303,0.000903044,0.474348486,0.996717621,HOROZ
37997,706.226,246.9038174,196.2197834,1.258302365,0.606974188,38305,219.9529108,0.776177636,0.991959274,0.957352263,0.890844513,0.006497982,0.002524445,0.793603946,0.998593721,SEKER
40736,732.691,249.2940001,208.5599159,1.195311185,0.547810836,41104,227.7425874,0.760141818,0.9910471,0.953556722,0.913550215,0.006119747,0.002629317,0.834573995,0.997575631,SEKER
37350,699.848,238.1729909,199.9543307,1.191136946,0.543307108,37637,218.0722289,0.786282683,0.992374525,0.958281311,0.91560436,0.006376787,0.002764478,0.838331344,0.998567437,SEKER
44336,789.82,297.8508897,190.4237142,1.564148095,0.76893609,44823,237.5928207,0.757802619,0.989135042,0.893120625,0.797690485,0.006718037,0.001677876,0.63631011,0.995283246,SIRA
26264,599.479,221.7402597,151.2012457,1.466524026,0.731459863,26596,182.8670648,0.800682885,0.98751692,0.918380778,0.824690406,0.008442745,0.002408947,0.680114266,0.997403912,DERMASON
41130,751.167,278.9962563,187.7938233,1.485651932,0.739546771,41511,228.8413041,0.719005664,0.99082171,0.916000209,0.820230734,0.006783279,0.001893929,0.672778457,0.999514615,SIRA
57311,953.118,373.2428761,196.5679635,1.898798103,0.850082877,58213,270.1307675,0.6401604,0.984505179,0.792783326,0.723739915,0.006512587,0.001102208,0.523799465,0.99458943,HOROZ
49227,807.687,289.3830362,216.8052717,1.334760146,0.662345789,49748,250.3552737,0.753017301,0.989527217,0.948259163,0.865134588,0.005878543,0.002031347,0.748457855,0.999011716,SEKER
35122,679.818,231.7962315,193.1433259,1.200125505,0.552902155,35481,211.4680101,0.784393425,0.989881909,0.955000906,0.912301329,0.006599745,0.002820072,0.832293715,0.998856915,SEKER
39334,714.221,241.0411743,208.2253658,1.157597555,0.503735267,39735,223.789196,0.801295632,0.989908141,0.968975389,0.928427256,0.006128062,0.002808629,0.861977169,0.997822664,SEKER
32272,661.624,240.6785257,171.1197673,1.406491661,0.703203201,32708,202.7066516,0.732206466,0.986669928,0.926431352,0.842229904,0.007457813,0.002314802,0.709351211,0.997696563,DERMASON
41435,738.189,260.3770597,202.7837232,1.284013606,0.627262451,41767,229.6882246,0.7905029,0.992051141,0.955525031,0.882136948,0.006283988,0.002347249,0.778165594,0.999175211,SEKER
51052,848.581,311.0051784,209.5399055,1.484228876,0.738958873,51644,254.9537708,0.712718135,0.988536907,0.89091448,0.819773395,0.006091929,0.00169711,0.672028418,0.997443984,SIRA
52640,856.435,315.5711822,214.0551919,1.474251474,0.734775544,53413,258.8886433,0.736223776,0.985527868,0.901855441,0.820381131,0.005994893,0.001675035,0.6730252,0.992208393,SIRA
60192,996.209,353.956217,219.4736662,1.612750282,0.784555344,61801,276.8371989,0.685714286,0.973964823,0.762162744,0.782122719,0.005880453,0.001357345,0.611715948,0.986545067,BARBUNYA
50683,861.87,336.1397512,192.7412118,1.743995215,0.81927831,51326,254.0307065,0.733345873,0.987472236,0.857410207,0.755729442,0.006632199,0.001334451,0.571126989,0.996042737,SIRA
36331,692.777,235.0484903,196.9907507,1.193195566,0.545538777,36684,215.0768837,0.783840345,0.990377276,0.95126232,0.915031973,0.00646964,0.002797725,0.837283511,0.999042972,SEKER
173809,1558.175,567.890055,391.4866953,1.450598607,0.724408867,175580,470.4258624,0.818340615,0.98991343,0.899600443,0.828374891,0.003267322,0.000949029,0.68620496,0.99540796,BOMBAY
169559,1575.747,591.4136202,368.1300911,1.606534305,0.782653269,172319,464.6388102,0.736655747,0.983983194,0.858139183,0.785641038,0.003487952,0.000819685,0.61723184,0.991604125,BOMBAY
28182,620.635,223.3039122,161.3848343,1.383673461,0.691147353,28548,189.4266002,0.800807002,0.987179487,0.91940984,0.848290558,0.007923636,0.002530946,0.71959687,0.995687092,DERMASON
29741,641.815,237.3907688,160.0058987,1.483637608,0.738713971,30077,194.5955223,0.807872005,0.988828673,0.907289125,0.819726577,0.007981936,0.002223126,0.671951661,0.996932755,DERMASON
53561,883.94,345.2874781,198.121381,1.742807749,0.819004739,54079,261.1436066,0.795440707,0.990421421,0.861416065,0.756307782,0.006446621,0.001301087,0.57200146,0.996888578,SIRA
70178,1013.164,390.0472886,231.8971273,1.681984133,0.804069045,71324,298.9203987,0.726142066,0.983932477,0.859115098,0.766369636,0.005557971,0.001182631,0.58732242,0.987866991,CALI
35652,680.437,227.476882,199.8096977,1.138467675,0.477974624,36002,213.057589,0.798978083,0.990278318,0.96764915,0.936612051,0.00638048,0.00302881,0.877242135,0.998711813,SEKER
58239,951.842,365.2107062,204.6321042,1.78471852,0.82828133,58994,272.3090117,0.659170138,0.987202088,0.807781765,0.745621656,0.006270896,0.001195593,0.555951655,0.992217214,HOROZ
71942,1028.174,398.7268526,231.2279045,1.72438899,0.814676591,72861,302.6539267,0.723355051,0.987386942,0.855183152,0.759050775,0.005542338,0.001134896,0.57615808,0.993520649,CALI
27427,612.889,233.6518351,149.6634735,1.561181427,0.767924353,27664,186.8719909,0.737999139,0.991432909,0.917538966,0.799788244,0.008519045,0.00215016,0.639661236,0.99862724,DERMASON
39959,759.494,290.4312543,175.5554382,1.654356352,0.796631934,40384,225.5601449,0.688758274,0.98947603,0.870514041,0.776638676,0.007268231,0.001631115,0.603167634,0.997854206,DERMASON
63966,995.08,376.335588,218.1566158,1.72507071,0.814839676,65115,285.3840232,0.793229167,0.982354296,0.811788814,0.758323242,0.005883369,0.001200116,0.57505414,0.992009053,BARBUNYA
54413,922.901,379.7136483,183.156467,2.07316539,0.875976279,54921,263.2124301,0.67613947,0.990750351,0.802790643,0.693186645,0.006978363,0.00099388,0.480507725,0.996171986,HOROZ
67801,1015.657,355.0918227,243.8804044,1.456008011,0.726837559,68991,293.8144217,0.781567723,0.982751373,0.825946337,0.827432238,0.005237265,0.001514308,0.684644109,0.996847308,BARBUNYA
43846,770.631,287.78655,194.6033987,1.478836197,0.736711296,44275,236.2762389,0.799045068,0.990310559,0.927784031,0.821012097,0.006563576,0.001839579,0.674060864,0.996825604,SIRA
72611,1084.358,421.7584937,221.2070214,1.906623448,0.851418201,73817,304.0578836,0.68156304,0.9836623,0.776009264,0.720928892,0.005808466,0.000967856,0.519738467,0.990945549,CALI
164571,1551.378,588.4700029,360.2032856,1.633716366,0.79077932,166960,457.7535419,0.774477277,0.985691184,0.859266569,0.777870647,0.003575782,0.00080757,0.605082743,0.988533581,BOMBAY
42079,783.081,292.2248838,184.8763207,1.580650689,0.774437153,42926,231.4662973,0.697272486,0.980268369,0.862306979,0.792082777,0.006944673,0.001686218,0.627395125,0.991692537,SIRA
30799,651.567,244.6894033,160.7258077,1.522402698,0.75401567,31109,198.0265253,0.759643844,0.990035038,0.911650383,0.809297512,0.007944719,0.002102283,0.654962463,0.997116621,DERMASON
34052,689.123,254.972779,170.3716465,1.496568145,0.743985795,34445,208.221884,0.742197036,0.988590507,0.901070971,0.816643584,0.007487748,0.002054287,0.666906743,0.998071387,DERMASON
39729,737.002,275.7104307,183.7473851,1.500486282,0.745549182,40096,224.9100573,0.722319188,0.990846967,0.919136822,0.815747365,0.006939778,0.001895606,0.665443763,0.998489238,DERMASON
45014,772.981,270.3666607,212.2463107,1.273834441,0.619456007,45454,239.4026,0.774607654,0.990319884,0.946716252,0.88547382,0.006006279,0.002277656,0.784063887,0.998767583,SEKER
56627,922.876,356.1840294,203.0456968,1.754206245,0.821604177,57280,268.5139395,0.792185445,0.98859986,0.8355005,0.75386294,0.006290004,0.001253142,0.568309332,0.996931779,CALI
31612,665.691,239.9569618,168.2363971,1.426308254,0.713052428,32011,200.6231504,0.800141743,0.987535535,0.896430174,0.836079724,0.007590692,0.002287978,0.699029305,0.997031267,DERMASON
36623,712.553,263.225672,177.7805501,1.480621316,0.737458783,37100,215.9394634,0.714149214,0.987142857,0.906419907,0.820358674,0.007187442,0.002008025,0.672988355,0.996440903,DERMASON
55563,873.756,315.9455,224.7293094,1.40589361,0.702897275,56100,265.9793391,0.711333871,0.990427807,0.914566329,0.841851962,0.005686257,0.00176177,0.708714726,0.996377505,SIRA
156041,1480.302,540.3492309,370.2427825,1.459445684,0.728362821,157801,445.7326237,0.803076622,0.988846712,0.89484525,0.824897304,0.003462867,0.000989043,0.680455562,0.993087933,BOMBAY
58485,952.905,394.7246417,189.7468319,2.080269998,0.876881373,59290,272.8835187,0.810131316,0.986422668,0.809384991,0.691326281,0.00674916,0.000950959,0.477932027,0.994227657,HOROZ
56526,945.246,372.9606368,196.3167195,1.89979049,0.85025325,57562,268.2743717,0.774721434,0.982002015,0.795002367,0.71931015,0.006598037,0.00108958,0.517407092,0.982965073,HOROZ
24211,574.946,218.0467134,141.63518,1.539495438,0.76030737,24500,175.5744931,0.730853986,0.988204082,0.920382766,0.80521504,0.009006101,0.002335415,0.648371261,0.998164598,DERMASON
